,Head_orientation_vertical,Head_orientation_horizontal,Mouth_open,Phone_detected,Head_count,Head_angles_v,Head_angles_h
0, , ,Mouth open, ,1,5,-29
1, , , ,55.54068684577942,1,9,-28
2, , ,Mouth open,50.79564452171326,1,3,-36
3, , ,Mouth open,45.11990547180176,1,20,-24
4, , ,Mouth open, ,1,13,-15
5, ,Head left, ,58.73537063598633,0,3,-60
6, , , ,49.54235255718231,1,22,-19
7, ,Head left, ,45.76742947101593,0,-11,-56
8, , , , ,0,23,-22
9, , ,Mouth open,49.034228920936584,0,9,-22
10, ,Head right, ,65.0160014629364,0,45,90
11,Head up, , , ,0,-87,-6
12, , , , ,0,19,-36
13, , , , ,0,-6,-38
14, , ,Mouth open, ,0,-6,-27
15, , , , ,0,-1,-32
16, , , , ,0,4,-39
17, , , , ,0,4,-42
18, , , , ,0,10,-33
19, , , , ,0,1,-24
20,Head down, , , ,0,61,-11
21,Head down, , , ,0,86,-4
22,Head down, , , ,0,64,-10
23,Head down, , , ,0,59,-11
24,Head down, , , ,0,56,-13
25,Head down, , , ,0,60,-12
26,Head down, , , ,0,54,-13
27,Head down, , , ,0,50,-15
28,Head down, , , ,0,51,-14
29,Head down, , , ,0,70,-8
30,Head down, , , ,1,52,-12
31,Head down, , , ,2,55,-11
32,Head down, , , ,0,58,-11
33, , , , ,1,47,-13
34,Head down, , , ,1,49,-13
35,Head down, , , ,1,52,-12
36,Head down, , , ,1,52,-12
37,Head down, , , ,0,55,-12
38,Head down, , ,59.96759533882141,0,48,-13
39,Head down, , , ,0,54,-13
40,Head down, , , ,1,52,-13
41,Head down, , , ,1,53,-11
42, , , , ,1,46,-14
43, , , , ,1,35,-15
44, , , , ,1,35,-16
45, , , , ,1,32,-17
46, , , , ,1,34,-17
47,Head down, , , ,1,54,-10
48, , , , ,1,46,-13
49,Head down, , , ,1,53,-11
50,Head down, , , ,1,49,-12
51, , , , ,0,43,-15
52,Head down, , , ,1,50,-12
53, , , , ,1,26,-19
54, , , , ,1,32,-12
55, , ,Mouth open, ,1,9,-27
56, , , ,48.37215542793274,1,6,-34
57, , , , ,1,11,-29
58, , , , ,1,18,-22
59, , , ,48.82790148258209,1,0,38
60, , ,Mouth open, ,1,-11,45
61, , ,Mouth open, ,1,-17,38
62, , ,Mouth open, ,1,-2,42
63, , ,Mouth open, ,1,32,30
64, , ,Mouth open, ,1,-17,31
65, , ,Mouth open, ,1,-11,39
66, , ,Mouth open, ,1,-18,33
67, , ,Mouth open, ,1,-2,47
68, , , , ,1,18,-22
69, , ,Mouth open, ,1,5,-23
70, , ,Mouth open, ,1,4,-40
71, , ,Mouth open, ,1,-21,28
72, , ,Mouth open, ,1,-17,31
73,Head up, ,Mouth open, ,1,-52,10
74, , , , ,1,8,-37
75,Head up, ,Mouth open, ,1,-55,9
76, , , , ,1,12,-28
77, , , , ,1,24,-19
78, , , , ,1,9,-35
79, , ,Mouth open, ,1,8,-35
80, , ,Mouth open, ,1,12,-23
81, , ,Mouth open, ,2,12,-24
82, , ,Mouth open, ,2,-44,16
83, , , , ,2,-7,11
84, , , , ,1,-8,-24
85, , , , ,1,-16,33
86, , , , ,1,1,-24
87, , , , ,1,0,-24
88, , , , ,1,-17,32
89, , , , ,2,12,-26
90, , , , ,1,-4,29
91, , , , ,1,-19,29
