,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
0,1,9,-29,0,1,0.0
1,1,12,-25,0,1,0.0
2,1,17,-22,0,1,0.0
3,1,5,-30,0,1,0.0
4,1,29,-16,0,1,0.0
5,1,6,-30,5,3,0.0
6,1,8,-31,4,3,48.788318037986755
7,1,9,-26,5,3,0.0
8,1,12,-27,5,3,45.179638266563416
9,1,10,-27,4,3,0.0
10,1,16,-20,5,3,50.310516357421875
11,1,22,-15,2,1,49.765369296073914
12,1,20,-20,0,0,56.02320432662964
13,1,19,-19,5,3,48.70469272136688
14,1,9,-25,4,3,0.0
15,1,-2,-12,5,3,45.147618651390076
16,1,-1,-42,3,3,0.0
17,1,0,-58,0,0,61.90934777259827
18,1,0,-60,0,2,62.960708141326904
19,1,-2,-40,0,3,0.0
20,1,-1,-31,5,3,0.0
21,1,83,0,5,3,0.0
22,1,-17,-31,5,3,53.418415784835815
23,1,0,-32,2,3,52.640944719314575
24,1,4,-22,5,3,47.92580008506775
25,1,5,-24,5,3,46.16267681121826
26,1,8,-27,5,3,45.95356285572052
27,1,10,-27,2,3,45.19655108451843
28,1,14,-18,5,3,53.04085612297058
29,1,6,-12,0,3,49.77676868438721
30,1,17,-22,0,3,47.70118296146393
31,1,9,-26,0,3,0.0
32,1,24,-22,0,3,0.0
33,1,20,-13,4,3,0.0
34,1,-78,0,5,3,0.0
35,1,-34,-11,2,3,0.0
36,1,17,-10,5,3,0.0
37,1,37,-13,5,3,0.0
38,1,30,-11,5,3,0.0
39,1,19,-8,5,3,0.0
40,1,22,-17,5,3,0.0
41,1,18,-22,2,3,0.0
42,1,9,-31,0,0,0.0
43,1,9,-31,0,3,0.0
44,1,10,-32,0,2,0.0
45,1,16,-25,0,3,0.0
46,1,17,-26,0,2,0.0
47,1,25,-21,0,0,0.0
48,1,13,-30,0,0,0.0
49,1,14,-28,0,1,0.0
50,1,16,-25,5,3,0.0
51,1,15,-28,5,3,49.28320050239563
52,1,13,-29,0,0,50.263023376464844
53,1,12,-30,0,0,59.793394804000854
54,1,7,-31,0,2,0.0
55,1,11,-31,0,1,0.0
56,1,11,-31,0,3,0.0
57,1,11,-32,0,2,0.0
58,1,10,-33,1,3,0.0
59,1,11,-33,0,3,0.0
60,1,8,-33,1,3,0.0
61,1,23,-29,0,0,0.0
62,1,15,-22,0,0,0.0
63,1,14,-28,0,1,0.0
64,1,8,-28,0,0,0.0
65,1,5,-29,0,0,0.0
66,1,8,-25,2,0,0.0
67,1,8,-27,5,3,0.0
68,1,6,-30,5,3,0.0
69,1,-23,23,0,0,0.0
70,1,-19,34,0,0,0.0
71,1,-22,30,0,1,0.0
72,1,-38,12,5,3,0.0
73,1,1,-37,5,3,0.0
74,1,3,-35,5,3,0.0
75,1,3,-34,5,3,0.0
76,1,-7,-24,5,3,0.0
77,1,0,-29,5,3,0.0
78,1,2,-28,5,3,0.0
79,1,2,-29,5,3,0.0
80,1,3,-30,5,3,0.0
81,1,7,-25,5,3,0.0
82,1,12,-28,5,3,0.0
83,1,-15,32,5,3,0.0
84,1,-12,37,5,3,0.0
85,1,-11,36,5,3,0.0
86,1,-12,31,5,3,0.0
87,1,-19,23,4,1,0.0
88,1,-22,22,1,0,0.0
89,1,-24,19,0,0,0.0
90,1,-32,20,0,0,0.0
91,1,-26,15,1,0,0.0
92,1,-43,14,1,1,0.0
93,1,-32,16,1,1,0.0
94,1,-33,21,0,0,0.0
95,1,-25,23,0,0,0.0
96,1,-21,25,2,0,0.0
97,1,-22,20,0,0,0.0
98,1,-21,20,0,0,0.0
99,1,-21,24,0,0,0.0
100,1,-23,25,0,0,0.0
101,1,-30,21,0,0,0.0
102,1,-26,20,0,0,0.0
103,1,-27,18,0,0,0.0
104,1,-25,16,0,0,0.0
105,1,-34,19,0,0,0.0
106,1,-31,20,0,0,0.0
107,1,-29,22,0,0,0.0
108,1,-27,23,0,0,0.0
109,1,-26,25,0,0,0.0
110,1,-29,22,0,0,0.0
111,1,-42,16,1,1,0.0
112,1,-26,21,0,0,0.0
113,1,-26,24,0,0,0.0
114,1,-23,26,0,0,0.0
115,1,-18,29,0,0,0.0
116,1,6,-37,5,3,0.0
117,1,-18,-39,0,0,0.0
118,1,-4,-62,0,0,50.50297975540161
119,1,0,-57,0,2,0.0
120,1,-2,-53,0,3,0.0
121,1,0,-35,3,1,0.0
122,1,5,-32,0,3,0.0
123,1,4,-36,1,2,0.0
124,1,6,-27,5,3,0.0
125,1,12,-21,5,3,0.0
126,1,9,-33,5,3,0.0
127,1,9,-36,0,0,0.0
128,1,-14,26,0,1,0.0
129,1,-18,27,0,1,0.0
130,1,-19,28,3,3,0.0
131,1,-25,20,0,1,49.26280975341797
132,1,-24,-50,5,3,0.0
133,1,5,-44,0,3,0.0
134,1,8,-45,0,0,48.31174612045288
135,1,9,-42,0,3,0.0
136,1,-3,-56,0,3,0.0
137,1,-8,-29,4,3,0.0
138,1,-12,-62,0,1,0.0
139,1,5,-44,0,1,0.0
140,1,-9,-49,4,1,0.0
141,1,-20,24,5,3,0.0
142,1,-25,-27,5,3,0.0
143,1,3,-33,5,3,0.0
144,1,9,-26,5,3,0.0
145,1,11,-26,0,1,0.0
146,1,-15,22,3,3,0.0
147,1,10,-29,5,3,0.0
148,1,8,-36,0,3,0.0
149,1,6,-31,5,3,0.0
150,1,8,-27,5,3,0.0
151,1,4,-35,5,3,0.0
152,1,7,-37,5,3,0.0
153,1,16,-21,5,3,0.0
154,1,26,-16,5,3,0.0
155,1,27,-14,5,3,0.0
156,1,24,-17,5,3,0.0
157,1,12,-13,5,3,0.0
158,1,-29,-20,5,3,0.0
159,1,-17,-33,5,3,0.0
160,1,13,-32,0,3,0.0
161,1,19,-25,0,0,0.0
162,1,16,-28,0,3,0.0
163,1,8,-28,3,3,0.0
164,1,11,-29,0,3,0.0
165,1,4,-27,2,3,0.0
166,1,4,-28,0,0,0.0
167,1,6,-39,0,3,0.0
168,1,-9,52,0,2,0.0
169,1,-8,54,0,3,0.0
170,1,-25,31,4,3,0.0
171,1,-21,44,0,3,0.0
172,1,-34,24,0,0,0.0
173,1,-21,28,0,0,0.0
174,1,4,-12,0,3,0.0
175,1,-14,37,0,0,48.091280460357666
176,1,-27,25,0,0,0.0
177,1,-21,43,0,0,0.0
178,1,-24,33,0,0,0.0
179,1,-27,38,0,0,0.0
180,1,-25,40,0,0,0.0
181,1,-28,18,0,0,0.0
182,1,15,-33,0,0,0.0
183,1,13,-48,0,1,0.0
184,1,-1,-42,4,3,0.0
185,1,-14,-30,5,3,0.0
186,1,7,-36,0,2,0.0
187,1,8,-34,0,3,0.0
188,1,10,-31,0,0,0.0
189,1,18,-27,0,0,0.0
190,1,4,-33,5,0,0.0
191,1,6,-38,5,3,0.0
192,1,9,-35,0,0,0.0
193,1,9,-36,0,0,0.0
194,1,7,-37,0,0,0.0
195,1,9,-36,0,3,0.0
196,1,4,-39,0,3,0.0
197,1,6,-40,0,1,0.0
198,1,8,-35,0,3,0.0
199,1,10,-33,0,0,0.0
200,1,11,-32,0,0,0.0
201,1,18,-27,0,0,45.175012946128845
202,1,-88,-5,0,0,48.70902597904205
203,1,-23,21,0,0,48.4320193529129
204,1,-23,24,0,0,0.0
205,1,-43,6,0,0,0.0
206,1,-46,6,0,0,45.40991485118866
207,1,-37,7,0,0,45.973750948905945
208,1,-51,4,0,0,45.580875873565674
209,1,11,-20,0,0,0.0
210,1,-37,15,0,0,0.0
211,1,6,-27,0,0,0.0
212,1,-37,15,0,0,0.0
213,1,19,-21,0,0,49.41096901893616
214,1,-31,15,0,0,0.0
215,1,5,-29,0,0,0.0
216,1,9,-32,0,3,0.0
217,1,36,-12,5,3,53.94628047943115
218,1,7,-24,5,3,0.0
219,1,5,-35,0,2,0.0
220,1,7,-33,0,0,0.0
221,1,8,-31,0,0,0.0
222,1,7,-36,0,0,0.0
223,1,9,-33,4,3,0.0
224,1,8,-33,2,3,0.0
225,1,7,-32,5,3,0.0
226,1,9,-30,2,3,0.0
227,1,16,-27,0,2,0.0
228,1,9,-33,1,3,0.0
229,1,10,-28,3,2,0.0
230,1,4,-38,5,3,0.0
231,1,14,-25,4,3,0.0
232,1,5,-40,0,3,0.0
233,1,15,-26,0,3,0.0
234,1,8,-33,2,3,0.0
235,1,8,-31,0,2,0.0
236,1,8,-30,0,0,0.0
237,1,10,-30,0,3,0.0
238,1,-21,30,0,0,0.0
239,1,-22,32,0,0,0.0
240,1,-23,29,0,0,0.0
241,1,-24,29,0,0,0.0
242,1,-22,29,0,0,0.0
243,1,-22,30,0,1,0.0
244,1,-22,24,0,0,0.0
245,1,-25,20,0,0,0.0
246,1,68,-7,0,0,0.0
247,1,-31,15,0,0,0.0
248,1,-34,6,0,0,0.0
249,1,-27,17,0,0,0.0
250,1,-36,11,0,0,0.0
251,1,-30,18,0,0,0.0
252,1,14,-27,0,3,0.0
253,1,3,-40,0,2,0.0
254,1,6,-39,1,2,0.0
255,1,18,-28,0,0,0.0
256,1,16,-28,0,0,0.0
257,1,16,-29,0,1,0.0
258,1,16,-29,0,1,0.0
259,1,17,-28,0,0,0.0
260,1,15,-29,0,0,0.0
261,1,-21,25,0,0,46.384575963020325
262,1,-26,24,0,0,0.0
263,1,-24,24,0,1,0.0
264,1,-33,18,2,0,0.0
265,1,-59,9,5,3,0.0
266,1,-30,17,5,2,0.0
267,1,-34,17,4,1,0.0
268,1,-26,21,0,0,0.0
269,1,-41,13,5,2,0.0
270,1,-27,19,0,0,0.0
271,1,-29,18,0,0,0.0
272,1,-82,4,0,0,0.0
273,1,-69,7,0,0,0.0
274,1,-45,-7,4,3,0.0
275,1,1,-37,0,1,0.0
276,1,-21,-30,0,3,0.0
277,1,-35,-40,1,3,0.0
278,1,-18,-43,4,3,0.0
279,1,-35,-35,0,3,0.0
280,1,-39,-28,0,3,0.0
281,1,-41,-36,0,3,0.0
282,1,-53,-25,0,3,0.0
283,1,-53,-26,0,3,0.0
284,1,-16,-36,0,3,0.0
285,1,88,-7,0,3,0.0
286,1,-27,-36,0,3,0.0
287,1,-41,-26,0,3,0.0
288,1,-82,4,4,3,0.0
289,1,-9,41,0,3,0.0
290,1,-10,42,0,3,0.0
291,1,-11,40,0,3,0.0
292,1,-10,40,1,3,0.0
293,1,-10,37,4,3,0.0
294,1,2,-34,0,2,0.0
295,1,-21,-55,0,3,0.0
296,1,-12,-49,0,3,0.0
297,1,-21,-51,0,3,0.0
298,1,-22,-50,0,3,0.0
299,1,-22,-51,0,3,0.0
300,1,-24,-49,0,3,0.0
301,1,-15,-50,0,3,0.0
302,1,16,-31,0,3,0.0
303,1,21,-27,0,1,0.0
304,1,21,-27,0,0,0.0
305,1,19,-30,0,0,0.0
306,1,24,-25,0,0,0.0
307,1,22,-26,0,0,0.0
