,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
0,1,37,-13,0,0,0
1,1,21,-14,0,0,0
2,1,17,-16,0,0,0
3,1,36,-7,0,0,0
4,1,-1,55,3,5,0
5,1,-6,49,2,5,0
6,1,-1,50,0,4,0
7,1,-25,37,0,0,46.44346237
8,1,-8,53,3,4,0
9,1,-7,52,2,3,0
10,1,-8,50,2,0,0
11,1,-8,49,1,0,0
12,1,-18,42,0,0,0
13,1,-11,49,0,2,0
14,1,-10,49,1,1,0
15,1,-1,58,2,2,45.90903819
16,1,-5,52,0,0,47.2233355
17,1,2,48,0,0,0
18,1,-48,-32,3,5,0
19,1,-11,-52,1,0,0
20,1,1,-52,0,0,45.96020579
21,1,5,-49,3,1,0
22,1,4,-51,0,0,0
23,1,2,-53,2,1,0
24,1,2,-52,3,1,0
25,1,-2,-54,0,0,0
26,1,-14,-61,0,0,45.62493563
27,1,-3,-55,3,0,49.69603419
28,1,-1,-57,3,1,0
29,1,5,-49,0,0,0
30,1,8,-47,0,0,0
31,1,6,-44,1,1,0
32,1,-49,-19,3,5,0
33,1,-10,2,3,5,0
34,1,50,0,3,5,0
35,1,-71,-9,3,4,0
36,1,-3,-24,3,5,0
37,1,-27,-27,3,5,0
38,1,-18,-15,3,5,0
39,1,-32,-24,3,2,0
40,1,-5,-20,2,2,0
41,1,-5,-26,3,5,0
42,1,-13,-22,3,5,0
43,1,-12,-19,3,5,0
44,1,-14,-24,3,5,0
45,1,-10,-29,3,3,71.27921581
46,1,-8,-19,3,0,73.653543
47,1,-10,-22,0,0,57.26819038
48,1,-2,-22,3,3,53.53719592
49,1,-4,-21,3,1,70.16872168
50,1,-16,-22,0,0,70.13724446
51,1,-8,-21,3,3,68.13030839
52,1,-10,-17,3,3,49.06078875
53,1,-5,-28,3,4,70.06596327
54,1,0,-24,3,5,60.83536148
55,1,6,19,0,0,0
56,1,-1,30,2,4,51.98510885
57,1,-10,35,0,0,46.62030637
58,1,-58,7,0,0,0
59,1,22,-28,0,0,46.25062346
60,1,59,-12,0,0,46.74730301
61,1,42,-17,0,0,47.23798335
62,1,-10,27,0,0,0
63,1,-18,33,3,4,45.37093043
64,1,-34,28,1,0,46.25860155
65,1,-13,39,0,0,49.47784245
66,1,-21,32,0,0,50.41412711
67,1,-38,26,0,0,0
68,1,-15,36,0,0,47.24328816
69,1,-20,17,3,1,53.66776586
70,1,52,-15,0,0,0
71,1,43,-18,0,0,0
72,1,46,-17,3,0,0
73,1,47,-15,0,0,0
74,1,20,-30,0,0,46.66654766
75,1,-48,14,0,0,0
76,1,-41,20,0,1,0
77,1,-11,36,1,4,0
78,1,-12,35,0,0,0
79,1,-16,32,0,1,0
80,1,-15,32,0,0,0
81,1,-41,17,0,0,0
82,1,52,-13,3,0,49.71860051
83,1,50,-8,0,0,0
84,1,41,-16,0,0,0
85,1,-36,18,3,0,0
86,1,-56,12,2,1,0
87,1,-57,14,2,0,0
88,1,-57,14,2,0,0
89,1,-42,20,3,0,0
90,1,-56,14,3,0,0
91,1,26,-25,3,5,47.23245203
92,1,-5,-30,3,4,53.13416719
93,1,-38,-42,0,0,48.52851331
94,1,-31,-50,0,0,0
