,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
12,1,-65,7,0,3,0
13,1,-60,14,0,0,0
14,1,-58,16,0,0,0
15,1,-52,15,0,0,0
16,1,-58,12,0,0,0
17,1,-80,2,0,0,0
18,1,-86,-1,0,0,0
19,1,84,-4,0,0,0
20,1,63,-9,0,0,0
21,1,71,-7,0,0,0
22,1,66,-8,0,0,0
23,1,62,-10,0,0,0
24,1,80,-6,0,0,0
25,1,69,-7,0,0,0
26,1,79,-4,0,1,0
27,1,76,-3,0,3,0
28,1,68,-6,0,0,0
29,1,59,-5,0,0,0
30,1,50,-10,0,0,0
31,1,49,-13,3,3,0
32,1,43,-14,0,0,0
33,1,46,-15,0,0,0
34,1,50,-12,1,3,0
35,1,44,-13,0,0,0
36,1,51,-11,0,3,0
37,1,44,-16,0,1,0
38,1,45,-15,4,3,0
39,1,67,-8,3,0,0
40,1,68,-8,0,0,0
41,1,58,-9,0,0,0
42,1,54,-11,0,0,0
43,1,57,-11,0,0,0
44,1,82,-6,0,0,0
45,1,79,-6,0,0,0
47,1,74,-5,0,1,0
48,1,54,-10,0,0,0
50,1,78,-4,0,0,0
51,1,64,-8,0,0,0
52,1,-46,13,0,0,0
53,1,-54,9,0,0,0
63,1,-46,15,0,0,0
64,1,-39,18,0,0,0
65,1,-41,19,0,0,0
66,1,-42,17,0,0,0
67,1,-41,17,0,0,0
68,1,-48,13,0,0,0
69,1,-77,3,0,1,0
70,1,-67,5,0,0,0
71,1,-48,12,0,0,0
72,1,87,-1,0,0,0
73,1,82,-1,0,0,0
74,1,68,-5,0,0,0
75,1,74,-3,0,2,0
76,1,68,-5,0,2,0
77,1,85,-2,0,0,0
78,1,61,-10,0,0,0
79,1,55,-10,0,0,0
80,1,52,-12,0,0,0
81,1,54,-11,0,0,0
82,1,58,-8,0,0,0
83,1,65,-7,0,0,0
84,1,71,-8,0,0,0
85,1,83,-3,0,0,0
86,1,68,-8,0,0,0
87,1,60,-9,0,0,0
102,1,59,-10,4,0,0
103,1,67,-9,0,0,0
104,1,51,-12,0,0,0
105,1,46,-15,0,0,0
106,1,42,-16,0,0,0
107,1,76,-7,0,0,0
108,1,52,-13,0,0,0
109,1,65,-11,0,0,0
110,1,46,-15,0,0,0
111,1,21,-24,0,0,0
112,1,-56,9,0,0,0
113,1,76,-6,0,0,0
114,1,-61,4,0,0,0
115,1,83,-4,0,0,0
116,1,-88,-4,0,0,0
117,1,-47,10,0,0,0
118,1,-37,17,0,0,0
119,1,-41,15,0,0,0
120,1,-42,15,0,0,0
121,1,-42,14,0,0,0
122,1,-34,19,1,0,0
123,1,-31,21,0,0,0
124,1,-34,22,3,0,0
125,1,-28,27,3,0,45.38568854
126,1,-25,30,3,1,0
127,1,-24,31,2,0,0
128,1,-24,29,0,0,0
129,1,-27,28,3,0,0
130,1,-25,29,0,0,0
131,1,-23,30,0,0,0
132,1,-24,29,0,0,0
133,1,-25,29,0,0,0
134,1,-31,25,0,0,0
135,1,-34,22,0,0,0
136,1,-35,21,0,0,0
137,1,-36,20,0,0,0
138,1,-38,17,0,0,0
139,1,-33,21,0,0,0
140,1,-32,21,0,0,0
141,1,-36,18,0,0,0
142,1,-37,19,0,0,0
143,1,-31,21,0,0,0
144,1,-34,18,0,0,0
145,1,-45,12,0,0,0
146,1,58,-10,0,0,0
147,1,73,-6,0,0,0
148,1,85,-3,0,0,0
149,1,86,-4,0,0,0
150,1,84,-4,0,0,0
151,1,89,-4,0,0,0
152,1,-85,-2,0,2,0
153,1,-81,-1,0,3,0
154,1,-85,-1,0,3,0
155,1,-83,-1,0,0,0
156,1,-81,0,0,1,0
157,1,-87,-3,0,3,0
158,1,-86,-2,0,0,0
159,1,-86,-2,0,0,0
160,1,-88,-2,0,0,0
161,1,-88,-2,0,0,0
162,1,-76,1,0,0,0
