,Head_orientation_vertical,Head_orientation_horizontal,Mouth_open,Phone_detected,Head_count,Head_angles_v,Head_angles_h,target
0,Head down,Normal,Mouth close,0,1,80,-2,0
1,Head down,Normal,Mouth close,0,2,77,-1,1
2,Normal,Normal,Mouth close,0,2,20,-20,1
3,Head down,Normal,Mouth close,0,2,84,-1,1
4,Normal,Normal,Mouth close,0,2,12,-30,1
5,Normal,Normal,Mouth close,0,2,23,-26,1
6,Head up,Normal,Mouth close,0,2,-52,-5,1
7,Normal,Normal,Mouth close,0,2,20,-28,1
8,Normal,Normal,Mouth close,0,2,0,-9,1
9,Normal,Normal,Mouth close,0,2,20,-27,1
10,Normal,Normal,Mouth open,0,2,1,-13,1
11,Normal,Normal,Mouth close,0,2,22,-27,1
12,Normal,Normal,Mouth open,0,2,4,-10,1
13,Normal,Normal,Mouth close,0,2,25,-24,1
14,Normal,Normal,Mouth close,0,1,28,-5,0
15,Normal,Normal,Mouth close,0,1,0,43,0
16,Normal,Normal,Mouth close,0,1,-29,-4,0
17,Normal,Normal,Mouth close,0,1,4,-31,0
18,Head up,Normal,Mouth close,0,2,-75,0,1
19,Normal,Normal,Mouth close,0,2,5,-33,1
20,Normal,Normal,Mouth close,0,2,-6,-4,1
21,Normal,Normal,Mouth close,0,2,8,-29,1
22,Head up,Normal,Mouth close,0,1,-71,-1,0
23,Normal,Normal,Mouth close,0,2,3,-37,1
24,Normal,Normal,Mouth open,0,2,-13,-11,1
25,Normal,Normal,Mouth open,0,2,-11,-9,1
26,Normal,Normal,Mouth close,0,1,9,-35,0
27,Head up,Normal,Mouth close,0,1,-57,-3,0
28,Normal,Normal,Mouth close,0,1,-27,-6,0
29,Head up,Normal,Mouth close,0,1,-80,-1,0
30,Normal,Normal,Mouth open,0,1,-22,-5,0
31,Normal,Head right,Mouth close,0,1,-5,48,1
32,Normal,Normal,Mouth open,0,1,-13,42,0
33,Normal,Normal,Mouth close,0,1,-8,46,0
34,Normal,Normal,Mouth close,0,1,-4,47,0
35,Normal,Normal,Mouth open,0,1,-23,33,0
36,Normal,Normal,Mouth close,0,1,-4,43,0
37,Normal,Head right,Mouth open,0,1,0,48,1
38,Normal,Normal,Mouth close,0,1,-38,21,0
39,Normal,Normal,Mouth close,0,1,-21,30,0
40,Normal,Normal,Mouth open,55.05162477,1,6,-38,1
41,Normal,Normal,Mouth close,0,1,16,-38,0
42,Normal,Normal,Mouth open,62.32814789,1,13,-34,1
43,Normal,Normal,Mouth close,0,1,16,-31,0
44,Normal,Normal,Mouth close,61.50863767,1,16,-33,1
45,Normal,Normal,Mouth close,0,0,20,-31,0
46,Normal,Normal,Mouth open,64.43254948,0,12,-21,1
47,Normal,Normal,Mouth open,0,0,20,-15,0
48,Normal,Normal,Mouth close,64.24093246,0,7,-38,1
49,Normal,Normal,Mouth open,0,0,9,-17,0
50,Normal,Normal,Mouth open,62.11946607,0,15,-37,1
51,Normal,Normal,Mouth close,0,0,23,-13,0
52,Normal,Normal,Mouth close,63.07819486,0,17,-20,1
53,Normal,Normal,Mouth close,0,0,23,5,0
54,Normal,Normal,Mouth close,60.27035713,0,8,33,1
55,Normal,Normal,Mouth close,0,0,3,41,0
56,Normal,Normal,Mouth close,61.82274818,0,-7,26,1
57,Head up,Normal,Mouth close,0,0,-56,0,0
58,Normal,Normal,Mouth close,50.08218884,0,16,-45,1
59,Normal,Head left,Mouth close,0,0,0,-52,0
60,Normal,Normal,Mouth close,47.01428115,2,-14,16,1
61,Normal,Normal,Mouth close,0,2,28,-23,1
62,Normal,Normal,Mouth close,0,2,-12,11,1
63,Normal,Normal,Mouth close,0,2,9,-27,1
64,Normal,Normal,Mouth close,46.41054571,2,9,22,1
65,Normal,Normal,Mouth close,0,2,21,-25,1
66,Normal,Normal,Mouth close,0,2,15,11,1
67,Normal,Normal,Mouth close,49.48240221,2,18,-27,1
68,Head up,Normal,Mouth close,0,2,-84,1,1
69,Normal,Normal,Mouth close,0,2,16,-25,1
70,Normal,Normal,Mouth close,0,2,-45,1,1
71,Normal,Normal,Mouth close,0,2,10,-30,1
72,Normal,Normal,Mouth close,0,2,-41,-1,1
73,Normal,Normal,Mouth close,0,2,9,-28,1
74,Normal,Normal,Mouth close,0,2,-23,0,1
75,Normal,Normal,Mouth close,0,2,19,-24,1
76,Normal,Normal,Mouth close,0,1,23,-3,0
77,Normal,Normal,Mouth close,0,1,19,-26,0
78,Normal,Normal,Mouth close,0,1,17,-8,0
79,Normal,Normal,Mouth close,0,1,17,-24,0
80,Normal,Normal,Mouth close,0,1,8,-3,0
81,Normal,Normal,Mouth close,0,1,14,-25,0
82,Normal,Normal,Mouth close,0,1,-28,0,0
83,Normal,Normal,Mouth close,0,1,8,-26,0
84,Normal,Normal,Mouth open,0,1,4,-10,0
85,Normal,Normal,Mouth close,0,1,11,-29,0
86,Normal,Normal,Mouth close,0,1,34,-5,0
87,Normal,Normal,Mouth close,0,1,14,-27,0
88,Normal,Normal,Mouth close,0,1,14,-7,0
89,Normal,Normal,Mouth close,0,1,5,-29,0
90,Normal,Normal,Mouth close,0,1,5,-8,0
91,Normal,Normal,Mouth close,0,1,10,-33,0
