,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
0,1,-61,-22,0,0,0.0
1,1,-84,-8,0,0,0.0
2,1,68,5,0,0,0.0
3,1,60,13,0,0,0.0
4,1,75,1,0,0,0.0
5,1,-67,-24,0,0,0.0
6,1,81,-1,0,0,0.0
7,1,-88,-8,0,0,0.0
8,1,-87,1,0,0,0.0
9,1,-82,-1,0,0,0.0
10,1,-46,-18,0,0,0.0
11,1,-64,-8,0,0,0.0
12,1,-62,-9,0,0,0.0
13,1,88,1,0,0,0.0
14,1,-29,-35,0,0,0.0
15,1,-30,-36,0,0,0.0
16,1,-32,-35,0,0,0.0
17,1,85,4,0,0,0.0
18,1,52,16,0,0,0.0
19,1,83,6,4,0,0.0
20,1,68,9,1,0,0.0
21,1,50,20,0,0,0.0
22,1,-49,-17,0,0,0.0
23,1,-50,-15,0,0,0.0
24,1,-64,-10,0,0,0.0
25,1,60,15,0,0,0.0
26,1,-64,-7,0,0,0.0
27,1,84,4,0,0,0.0
28,1,-71,-4,0,0,0.0
29,1,-71,-5,0,0,0.0
30,1,-59,-12,0,0,0.0
31,1,-52,-23,0,0,0.0
32,1,-45,-31,0,0,0.0
33,1,-71,-13,0,0,0.0
34,1,90,-2,0,0,0.0
35,1,-75,-11,0,0,0.0
36,1,85,0,0,0,0.0
37,1,85,-1,0,0,0.0
38,1,86,0,0,0,0.0
39,1,-47,-18,0,0,0.0
40,1,55,18,0,0,0.0
41,1,38,23,0,0,0.0
42,1,30,31,0,0,0.0
43,1,31,27,0,0,0.0
44,1,23,34,0,0,0.0
45,1,-39,-18,0,0,0.0
46,1,85,2,0,0,0.0
47,1,74,6,0,0,0.0
48,1,59,11,0,0,0.0
49,1,40,19,0,0,0.0
50,1,65,8,0,0,0.0
51,1,73,6,0,0,0.0
52,1,32,22,0,0,0.0
53,1,64,8,0,0,0.0
54,1,-83,-1,0,0,0.0
55,1,-67,-9,0,0,0.0
56,1,-74,-5,0,0,0.0
57,1,-52,-20,0,0,0.0
58,1,-86,-2,0,0,0.0
59,1,40,21,0,0,0.0
60,1,67,9,0,0,0.0
61,1,-86,0,0,0,0.0
62,1,-85,0,0,0,0.0
63,1,57,11,0,0,0.0
64,1,80,4,0,0,0.0
65,1,69,8,0,0,0.0
66,1,77,5,0,0,0.0
67,1,71,6,0,0,0.0
68,1,-74,-6,0,0,0.0
69,1,60,12,0,0,0.0
70,1,64,11,0,0,0.0
71,1,86,2,0,0,0.0
72,1,66,11,0,0,0.0
73,1,48,18,0,0,0.0
74,1,44,20,0,0,0.0
75,1,-63,-8,0,0,0.0
76,1,-73,-3,0,0,0.0
77,1,-64,-7,0,0,0.0
78,1,-85,0,0,0,0.0
79,1,-50,-16,0,0,0.0
80,1,-82,0,0,0,0.0
81,1,-73,-2,0,0,0.0
82,1,-74,-4,0,0,0.0
83,1,67,8,0,0,0.0
84,1,72,5,0,0,0.0
85,1,56,17,0,0,0.0
86,1,-87,1,0,0,0.0
87,1,-88,1,0,0,0.0
88,1,83,4,0,0,0.0
89,1,-67,-6,0,0,0.0
90,1,-52,-16,0,0,0.0
91,1,-83,0,0,0,0.0
92,1,75,5,0,0,0.0
93,1,39,25,0,0,0.0
94,1,-71,-5,0,0,0.0
95,1,39,27,0,0,0.0
96,1,55,20,0,0,0.0
97,1,36,33,0,0,0.0
98,1,44,26,0,1,0.0
99,1,34,31,1,2,0.0
100,1,39,28,1,0,0.0
101,1,27,30,0,0,0.0
102,1,34,29,0,0,0.0
103,1,45,21,0,0,0.0
104,1,53,21,1,1,0.0
105,1,41,28,0,0,0.0
106,1,49,19,0,0,0.0
107,1,30,31,0,0,0.0
108,1,24,34,0,0,0.0
109,1,33,29,0,1,0.0
110,1,30,31,0,0,0.0
111,1,27,29,0,0,0.0
112,1,27,34,0,0,0.0
113,1,21,37,0,0,0.0
114,1,29,30,0,0,0.0
115,1,25,35,0,0,0.0
116,1,20,36,0,0,0.0
117,1,23,35,0,0,0.0
118,1,22,37,0,0,0.0
119,1,22,39,1,0,0.0
120,1,32,30,0,0,0.0
121,1,23,34,0,0,0.0
122,1,21,35,0,0,0.0
123,1,21,37,0,0,0.0
124,1,30,33,0,0,0.0
125,1,23,36,0,0,0.0
126,1,30,28,0,0,0.0
127,1,23,30,0,0,0.0
128,1,29,27,0,0,0.0
129,1,22,33,0,0,0.0
130,1,22,34,0,0,0.0
131,1,26,29,0,0,0.0
132,1,30,31,0,0,0.0
133,1,30,26,0,0,0.0
134,1,21,36,0,0,0.0
135,1,21,34,0,0,0.0
136,1,19,35,0,0,0.0
137,1,26,32,0,0,0.0
138,1,25,32,0,0,0.0
139,1,32,29,0,0,0.0
140,1,35,27,0,0,0.0
141,1,21,34,0,0,0.0
142,1,30,28,0,0,0.0
143,1,20,35,0,0,0.0
144,1,27,27,0,0,0.0
145,1,21,33,0,0,0.0
146,1,24,32,0,0,0.0
147,1,38,22,0,0,0.0
148,1,14,31,3,0,0.0
149,1,23,25,1,0,0.0
150,1,27,27,3,0,0.0
151,1,22,30,0,0,0.0
152,1,43,21,5,3,0.0
153,1,7,-40,0,0,0.0
154,1,24,-26,0,0,0.0
155,1,53,-10,0,0,0.0
156,1,48,-12,0,0,0.0
157,1,55,-10,0,0,0.0
158,1,45,-14,0,0,0.0
159,1,57,-8,0,0,0.0
160,1,50,-11,0,0,0.0
161,1,55,-8,0,0,0.0
162,1,83,0,0,0,0.0
163,1,80,-2,0,0,0.0
164,1,76,-5,0,0,0.0
165,1,38,-17,0,0,0.0
166,1,57,-10,0,0,0.0
167,1,40,-17,0,1,0.0
168,1,59,-11,0,0,0.0
169,1,55,-9,0,0,0.0
170,1,47,-13,0,0,0.0
171,1,48,-13,0,0,0.0
172,1,39,-16,0,0,0.0
173,1,37,-17,0,0,0.0
174,1,21,-25,0,0,0.0
175,1,23,-25,0,0,0.0
176,1,26,-23,0,0,0.0
177,1,22,-24,0,0,0.0
178,1,-8,36,0,0,0.0
179,1,-20,29,0,0,0.0
180,1,-18,31,0,0,0.0
181,1,-19,30,0,0,0.0
182,1,-20,29,0,0,0.0
183,1,-16,27,0,0,45.65655291080475
184,1,-26,28,0,0,52.49354839324951
185,1,-35,23,0,0,50.32268762588501
186,1,-26,29,0,0,52.51238942146301
187,1,-23,31,0,0,50.14049410820007
188,1,-31,25,0,0,53.318196535110474
189,1,-29,26,0,0,51.73298120498657
190,1,-23,29,0,0,53.436607122421265
191,1,-29,26,0,0,48.652997612953186
192,1,-73,7,0,0,49.3171364068985
193,1,66,-2,0,0,0.0
194,1,-25,28,0,0,46.34473919868469
195,1,66,-4,0,0,47.22312390804291
196,1,74,-1,0,0,46.90825045108795
197,1,-73,8,0,0,0.0
198,1,-20,30,0,0,0.0
199,1,-21,29,0,0,46.60826623439789
200,1,-20,31,0,0,48.929211497306824
201,1,-19,32,0,0,46.40679955482483
202,1,-16,33,0,0,46.054479479789734
203,1,-20,31,0,0,50.84120035171509
204,1,-19,31,0,0,0.0
205,1,-17,32,0,0,0.0
206,1,-14,34,0,0,0.0
207,1,-13,34,0,0,45.932820439338684
208,1,-16,33,0,0,51.50880813598633
209,1,-16,35,0,0,45.467016100883484
210,1,-19,31,0,0,0.0
211,1,-14,35,0,0,0.0
212,1,-15,35,0,0,0.0
213,1,-13,36,0,0,45.34878730773926
214,1,-13,36,0,0,0.0
215,1,-14,37,0,0,0.0
216,1,-13,36,0,0,0.0
217,1,-15,34,0,0,0.0
218,1,-16,35,0,0,52.61138081550598
219,1,-17,36,0,0,47.837936878204346
220,1,-20,33,0,0,50.687116384506226
221,1,-19,32,0,0,46.795374155044556
222,1,-21,31,0,0,47.588565945625305
223,1,-23,27,0,0,0.0
224,1,-18,29,0,0,52.39297151565552
225,1,-17,30,0,0,0.0
226,1,-64,9,0,0,46.74832820892334
227,1,36,-15,0,0,48.50606620311737
228,1,63,-3,0,0,48.10094237327576
229,1,47,-11,0,0,46.388670802116394
230,1,57,-8,0,0,0.0
231,1,-47,13,0,0,0.0
232,1,77,-1,0,0,0.0
233,1,-25,20,1,0,0.0
234,1,-20,24,0,0,0.0
235,1,80,-1,0,0,0.0
236,1,-15,23,0,0,0.0
237,1,-12,32,0,0,0.0
238,1,-78,4,0,0,0.0
239,1,-11,30,0,0,0.0
240,1,-12,32,0,0,0.0
241,1,-15,29,0,0,0.0
242,1,-55,7,0,0,49.408891797065735
243,1,-62,6,0,0,0.0
244,1,-67,6,0,0,0.0
245,1,-25,23,0,0,0.0
246,1,50,-11,0,0,0.0
247,1,44,-13,0,0,0.0
248,1,38,-16,0,0,0.0
249,1,41,-14,0,0,0.0
250,1,61,-6,0,0,0.0
251,1,52,-10,0,0,0.0
252,1,40,-14,0,0,0.0
253,1,45,-12,0,0,0.0
254,1,-46,16,0,0,0.0
255,1,80,-2,0,0,0.0
256,1,60,-6,0,0,0.0
257,1,48,-10,0,0,0.0
258,1,41,-13,0,0,0.0
259,1,32,-17,0,0,0.0
260,1,52,-9,0,0,0.0
261,1,54,-8,0,0,0.0
262,1,57,-7,0,0,0.0
263,1,45,-11,0,0,0.0
264,1,26,-21,0,0,0.0
265,1,53,-9,0,0,0.0
266,1,45,-11,0,0,0.0
267,1,31,-17,0,0,0.0
268,1,52,-9,0,0,0.0
269,1,54,-8,0,0,0.0
270,1,58,-6,0,0,0.0
271,1,71,-1,0,0,0.0
272,1,75,-1,0,0,0.0
273,1,64,-4,0,0,0.0
274,1,68,-3,0,0,0.0
275,1,67,-4,0,0,0.0
276,1,71,-2,0,0,0.0
277,1,58,-6,0,0,0.0
278,1,-63,9,0,0,0.0
279,1,74,-2,0,0,0.0
