,Head_orientation_vertical,Head_orientation_horizontal,Mouth_open,Phone_detected,Head_count,Head_angles_v,Head_angles_h
0, , , , ,1,3,-31
1, , , , ,1,3,-30
2, , , , ,1,6,-33
3, , , , ,1,7,-31
4, , , , ,1,9,-32
5, , , , ,1,8,-33
6, , , , ,1,8,-33
7, , , , ,1,6,-32
8, , , , ,1,8,-30
9, , , , ,1,10,-32
10, , , , ,1,7,-30
11, , , , ,1,10,-28
12, , , , ,1,9,-29
13, , , , ,1,8,-31
14, , , , ,1,8,-34
15, , , , ,1,9,-29
16, , , , ,1,10,-29
17, , , , ,1,9,-30
18, , , , ,1,6,-29
19, , , , ,1,9,-27
20, , , , ,1,3,-29
21, , , , ,1,3,-28
22, , , , ,1,3,-26
23, , , , ,1,9,-24
24, , , , ,1,8,-24
25, , , , ,1,5,-24
26, , , , ,1,5,-25
27, , , , ,1,6,-27
28, , , , ,1,5,-28
29, , , , ,1,5,-27
30, , , , ,1,8,-28
31, , , , ,1,7,-26
32, , , , ,1,9,-27
33, , , , ,1,9,-27
34, , , , ,1,7,-28
35, , , , ,1,8,-26
36, , , ,51.96530222892761,1,7,-29
37, , , , ,1,8,-26
38, , , , ,1,6,-27
39, , , , ,1,10,-26
40, , , , ,1,12,-24
41, , , , ,1,10,-28
42, , , , ,1,9,-27
43, , , , ,1,5,-27
44, , , , ,1,6,-26
45, , , , ,1,6,-26
46, , , , ,1,9,-27
47, , , , ,1,10,-27
48, , , , ,1,9,-28
49, , , , ,1,7,-26
50, , , , ,1,9,-26
51, , , , ,1,7,-28
52, , , , ,1,7,-27
53, , , , ,1,5,-26
54, , , , ,1,8,-26
55, , , , ,1,6,-27
56, , , , ,1,7,-28
57, , , , ,1,8,-26
58, , , , ,1,10,-24
59, , , , ,1,10,-24
60, , , , ,1,10,-25
61, , , , ,1,10,-25
62, , , , ,1,11,-24
63, , , , ,1,9,-25
64, , , , ,1,11,-24
65, , , , ,1,11,-24
66, , , , ,1,10,-26
67, , , , ,1,10,-25
68, , , , ,1,11,-24
69, , , , ,1,11,-25
70, , , , ,1,10,-24
71, , , , ,1,9,-26
72, , , , ,1,10,-24
73, , , , ,1,10,-24
74, , , , ,1,10,-25
75, , , , ,1,10,-25
76, , , , ,1,10,-25
77, , , , ,1,8,-27
78, , , , ,1,7,-25
79, , , , ,1,10,-29
80, , , , ,1,11,-28
81, , , , ,1,10,-28
82, , , , ,1,11,-26
83, , , , ,1,11,-25
84, , , , ,1,12,-26
85, , , , ,1,12,-24
86, , , , ,1,12,-26
87, , , , ,1,11,-27
88, , , , ,1,10,-26
89, , , , ,1,11,-28
90, , , , ,1,11,-26
91, , , , ,1,11,-25
92, , , , ,1,10,-27
93, , , , ,1,9,-25
94, , , , ,1,10,-26
95, , , , ,1,10,-23
96, , , , ,1,11,-25
97, , , , ,1,11,-24
98, , , , ,1,12,-25
99, , , , ,1,12,-24
100, , , , ,1,12,-24
101, , , , ,1,12,-25
102, , , , ,1,10,-24
103, , , , ,1,12,-26
104, , , , ,1,12,-24
105, , , , ,1,11,-25
106, , , , ,1,10,-27
107, , , , ,1,11,-25
108, , , , ,1,11,-26
109, , , , ,1,11,-25
110, , , , ,1,12,-24
111, , , , ,1,11,-26
112, , , , ,1,10,-27
113, , , , ,1,12,-24
114, , , , ,1,12,-25
115, , , , ,1,11,-25
116, , , , ,1,11,-26
117, , , , ,1,11,-25
118, , , , ,1,12,-26
119, , , , ,1,12,-25
120, , , , ,1,10,-25
121, , , , ,1,10,-26
122, , , , ,1,11,-25
123, , , , ,1,11,-26
124, , , , ,1,11,-26
125, , , , ,1,11,-27
126, , , , ,1,12,-25
127, , , , ,1,11,-24
128, , , , ,1,11,-24
129, , , , ,1,12,-24
130, , , , ,1,11,-26
131, , , , ,1,10,-26
132, , , , ,1,12,-25
133, , , , ,1,11,-25
134, , , , ,1,11,-26
135, , , , ,1,10,-24
136, , , , ,1,12,-26
137, , , , ,1,13,-26
138, , , , ,1,10,-25
139, , , , ,1,12,-25
140, , , , ,1,10,-27
141, , , , ,1,9,-30
142, , , , ,1,10,-28
143, , , , ,1,10,-30
144, , , , ,1,11,-28
145, , , , ,1,9,-30
146, , , , ,1,10,-31
147, , , , ,1,8,-31
148, , , , ,1,11,-29
149, , , , ,1,9,-30
150, , , , ,1,10,-29
151, , , , ,1,10,-30
152, , , , ,1,10,-28
153, , , , ,1,11,-27
154, , , , ,1,10,-29
155, , , , ,1,11,-30
156, , , , ,1,11,-27
157, , , , ,1,11,-28
158, , , , ,1,10,-26
159, , , , ,1,11,-27
160, , , , ,1,10,-27
161, , , , ,1,10,-26
162, , , , ,1,9,-26
163, , , , ,1,10,-26
164, , , , ,1,10,-26
165, , , , ,1,11,-27
166, , , , ,1,11,-27
167, , , , ,1,10,-30
168, , , , ,1,10,-27
169, , , , ,1,10,-26
170, , , , ,1,9,-29
171, , , , ,1,10,-28
172, , , , ,1,9,-28
173, , , , ,1,10,-28
174, , , , ,1,11,-27
175, , , , ,1,9,-28
176, , , , ,1,9,-28
177, , , , ,1,8,-26
178, , , , ,1,10,-30
179, , , , ,1,9,-27
180, , , , ,1,10,-30
181, , , , ,1,11,-29
182, , , , ,1,9,-29
183, , , , ,1,10,-27
184, , , , ,1,9,-29
185, , , , ,1,9,-29
186, , , , ,1,10,-31
187, , , , ,1,8,-28
188, , , , ,1,8,-26
189, , , , ,1,10,-29
190, , , , ,1,11,-30
191, , , , ,1,11,-32
192, , , , ,1,10,-31
193, , , , ,1,10,-32
194, , , , ,1,10,-28
195, , , , ,1,10,-29
196, , , , ,1,10,-27
197, , , , ,1,11,-27
198, , , , ,1,10,-26
199, , , , ,1,11,-24
200, , , , ,1,10,-24
201, , , , ,1,10,-24
202, , , , ,1,10,-25
203, , , , ,1,9,-27
204, , , , ,1,10,-23
205, , , , ,1,9,-28
206, , , , ,1,9,-27
207, , , , ,1,10,-27
208, , , , ,1,9,-28
209, , , , ,1,9,-29
210, , , , ,1,12,-28
211, , , , ,1,12,-27
212, , , , ,1,13,-26
213, , , , ,1,12,-26
214, , , , ,1,13,-26
215, , , , ,1,12,-29
216, , , , ,1,11,-30
217, , , , ,1,11,-30
218, , , , ,1,10,-30
219, , , , ,1,11,-30
220, , , , ,1,10,-31
221, , , , ,1,11,-30
222, , , , ,1,11,-30
223, , , , ,1,12,-30
224, , , , ,1,11,-30
225, , , , ,1,12,-29
226, , , , ,1,12,-31
227, , , , ,1,11,-29
228, , , , ,1,11,-28
229, , , , ,1,12,-27
230, , , , ,1,12,-28
231, , , , ,1,13,-27
232, , , , ,1,13,-27
233, , , , ,1,12,-29
234, , , , ,1,11,-30
235, , , , ,1,12,-29
