,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
0,1,14,-10,3,5,0
1,1,20,-18,3,5,0
2,1,85,0,0,0,0
3,1,-30,14,3,5,0
4,1,7,-22,3,5,0
5,1,20,-22,0,5,0
6,1,20,-24,0,1,0
7,1,17,-27,0,5,0
8,1,19,-25,0,4,0
9,1,22,-24,0,0,0
10,1,21,-23,0,4,0
11,1,26,-22,0,5,0
12,1,16,-24,3,5,0
13,1,6,18,3,5,0
29,1,21,-22,0,0,0
30,1,1,50,3,5,0
31,1,5,-32,0,0,0
32,1,10,-31,0,0,0
37,1,-6,-15,3,5,0
38,1,2,-26,3,5,0
39,1,17,17,3,5,0
40,1,19,-24,3,5,0
41,1,26,-23,0,3,0
42,1,22,-25,0,0,0
43,1,28,-21,0,0,0
44,1,29,-22,0,0,0
45,1,26,-23,0,0,0
46,1,25,-20,0,1,0
47,1,23,-23,1,0,0
48,1,23,-25,1,0,0
52,1,31,-15,0,2,0
53,1,34,-14,0,2,0
54,1,57,-6,0,5,0
55,1,32,-17,0,0,0
57,1,29,-14,0,0,0
58,1,26,-20,1,0,0
59,1,28,-21,0,0,0
62,1,41,-13,0,4,0
63,1,35,-17,0,0,0
64,1,27,-17,0,0,0
65,1,24,-22,0,0,0
66,1,24,-22,0,0,0
67,1,28,-19,0,0,0
68,1,25,-21,1,0,0
69,1,24,-21,3,0,0
70,1,-3,19,0,5,0
71,1,62,-10,3,0,0
72,1,-20,30,0,0,0
73,1,50,-1,0,0,0
75,1,-69,-1,3,0,0
76,1,51,-11,3,2,0
77,1,74,-1,3,5,0
78,1,41,-8,2,2,0
79,1,26,-21,3,4,0
80,1,25,-19,0,1,0
81,1,16,-26,0,5,0
82,1,15,-26,0,4,0
83,1,17,-25,0,0,0
84,1,20,-22,0,2,0
85,1,25,-17,0,2,0
86,1,17,-24,0,0,0
87,1,-31,2,3,5,0
88,1,19,1,3,5,0
89,1,29,-9,3,5,0
90,1,15,-13,3,5,0
91,1,15,-15,3,5,0
92,1,15,-15,3,5,0
93,1,73,-5,3,5,0
94,1,15,-18,3,5,0
95,1,18,-15,3,5,0
96,1,-52,-9,3,5,0
97,1,-15,-21,3,5,0
98,1,-28,-17,3,5,0
99,1,4,-16,3,5,0
100,1,-18,-12,3,5,0
101,1,22,-11,0,4,0
102,1,19,-8,0,2,0
103,1,12,-14,3,5,0
104,1,23,-13,3,5,0
105,1,8,-17,3,5,0
106,1,8,-10,2,5,0
107,1,56,-6,3,5,0
108,1,9,-17,3,5,0
109,1,27,-11,3,5,0
110,1,48,-8,3,5,0
