,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
1,1,9,-30,0,0,0
2,1,12,-31,5,3,0
3,1,8,-37,5,3,0
4,1,10,-32,5,3,0
5,1,14,-26,0,0,0
6,1,11,-31,5,3,0
7,1,8,-35,5,3,0
8,1,10,-32,5,3,0
9,1,15,-23,0,0,0
10,1,11,-28,5,3,0
11,1,8,-35,5,3,0
12,1,11,-34,5,3,0
13,1,12,-26,3,2,0
14,1,14,-26,0,0,0
15,1,14,-29,5,3,0
16,1,9,-34,5,3,0
17,1,11,-28,5,3,0
18,1,10,-27,0,0,0
19,1,14,-26,5,3,0
20,1,7,-35,5,3,0
21,1,9,-33,5,3,0
22,1,16,-17,0,0,0
23,1,18,-15,0,0,0
24,1,3,-28,5,3,0
25,1,-24,25,5,3,0
26,1,12,-23,0,0,0
27,1,17,-18,0,0,0
28,1,7,-36,5,3,0
29,1,9,-30,5,3,0
30,1,10,-23,0,0,0
31,1,10,-30,5,3,0
32,1,7,-37,5,3,0
33,1,16,-22,0,0,0
34,1,12,-26,1,0,0
35,1,7,-35,5,3,0
36,1,13,-29,5,3,0
37,1,18,-21,0,0,0
38,1,16,-27,5,3,0
39,1,9,-35,5,3,0
40,1,13,-26,0,0,0
41,1,14,-25,0,0,0
42,1,6,-38,5,3,0
43,1,22,-20,5,3,0
44,1,10,-28,0,0,0
45,1,11,-30,5,3,0
46,1,11,-31,5,3,0
47,1,10,-30,0,0,0
48,1,8,-36,5,3,0
49,1,8,-31,3,3,0
50,1,10,-34,5,3,0
51,1,15,-22,0,0,0
52,1,4,-39,5,3,0
53,1,13,-23,0,0,0
54,1,8,-34,5,3,0
55,1,13,-29,5,3,0
56,1,15,-20,0,0,0
57,1,15,-27,5,3,0
58,1,12,-26,5,3,0
59,1,10,-14,0,0,0
60,1,10,-29,0,0,0
61,1,8,-35,5,3,0
62,1,11,-30,5,3,0
63,1,9,-22,0,0,0
64,1,11,-29,5,3,0
65,1,11,-30,5,3,0
66,1,8,-23,0,0,0
67,1,10,-31,0,0,0
68,1,12,-31,5,3,0
69,1,13,-27,0,0,0
70,1,14,-28,2,3,0
71,1,12,-31,5,3,0
72,1,11,-25,0,0,0
73,1,14,-26,4,3,0
74,1,12,-30,5,3,0
75,1,14,-27,2,1,0
76,1,11,-30,5,3,0
77,1,12,-32,5,3,0
78,1,14,-27,0,0,0
79,1,13,-28,4,3,0
80,1,13,-30,5,3,0
81,1,12,-30,5,3,0
82,1,15,-26,3,3,0
83,1,10,-32,4,2,0
84,1,13,-29,5,3,0
85,1,14,-22,0,0,0
86,1,13,-23,3,1,0
87,1,15,-26,5,3,0
88,1,12,-25,0,0,0
89,1,13,-22,3,2,0
90,1,10,-35,5,3,0
91,1,12,-27,0,0,0
92,1,9,-32,5,3,0
93,1,13,-22,5,3,0
94,1,11,-30,5,3,0
95,1,13,-24,0,0,0
96,1,13,-32,5,1,0
97,1,16,-22,0,0,0
98,1,10,-27,0,0,0
99,1,-1,-29,5,3,0
100,1,-11,-28,5,3,0
101,1,-12,-24,0,0,47.78093398
102,1,-5,-42,5,3,0
103,1,-3,-29,4,0,0
104,1,3,-31,0,0,0
105,1,0,-30,4,0,0
106,1,2,-30,0,0,0
107,1,5,-29,5,3,0
108,1,5,-26,3,0,0
109,1,0,-33,5,3,0
110,1,-20,-21,5,3,0
111,1,84,-9,5,3,0
112,1,11,-15,5,3,0
113,1,-25,-28,5,0,0
114,1,7,-26,5,3,0
